Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
2023-09-01,14106975,1510351150,106.5,107.5,106.5,107.5,1.0,6817
2023-09-04,21399910,2279496433,107.5,108.0,105.5,106.5,-1.0,10338
2023-09-05,13947190,1486693623,106.5,107.0,106.0,107.0,0.5,5467
2023-09-06,17723586,1882250089,106.5,107.0,106.0,106.0,-1.0,10036
2023-09-07,14703513,1553316168,106.0,106.0,105.5,105.5,-0.5,9238
2023-09-08,12232593,1290143049,105.5,106.0,105.0,106.0,0.5,8184
2023-09-11,17970490,1892009180,106.0,106.0,105.0,105.0,-1.0,11073
2023-09-12,29936070,3197367679,106.0,107.5,105.5,107.5,2.5,10719
2023-09-13,18447173,1957599943,107.0,107.5,105.5,106.0,-1.5,8124
2023-09-14,15925971,1696098318,106.5,107.0,106.0,106.5,0.5,7901
2023-09-15,35796358,3800337901,106.5,107.0,106.0,106.0,-0.5,11524
2023-09-18,19458299,2065336849,106.0,106.5,105.5,106.5,0.5,8648
2023-09-19,13864956,1482205613,106.5,107.5,106.5,106.5,0.0,7128
2023-09-20,19168653,2037961517,106.5,107.0,106.0,106.0,-0.5,10432
2023-09-21,22481559,2367772067,106.0,106.5,105.0,105.0,-1.0,14523
2023-09-22,15164145,1593608220,105.0,105.5,105.0,105.0,0.0,8678
2023-09-25,16714643,1759692944,105.5,106.0,105.0,105.5,0.5,9163
2023-09-26,30615520,3199617720,105.0,105.5,104.0,104.0,-1.5,20954
2023-09-27,16571407,1721873446,104.0,104.5,103.5,104.0,0.0,12931
2023-09-28,24489178,2538919585,104.5,104.5,103.0,104.0,0.0,15612
2023-10-02,13980808,1462459227,104.0,105.0,104.0,104.5,0.5,7239
2023-10-03,17720597,1843275774,104.0,104.5,103.5,104.0,-0.5,9751
2023-10-04,27864693,2867342618,103.0,103.5,102.5,103.0,-1.0,18392
2023-10-05,16777516,1734010040,103.0,104.0,103.0,103.5,0.5,8814
2023-10-06,28202817,2970616668,105.0,106.0,104.5,105.5,2.0,12925
2023-10-11,39153271,4154453547,106.5,106.5,105.5,106.0,0.5,13879
2023-10-12,30018890,3205481301,106.5,107.0,106.0,107.0,1.0,11222
2023-10-13,27592508,2953567748,107.0,107.5,106.0,107.5,0.5,9635
2023-10-16,17539617,1875705357,107.0,107.5,106.5,107.0,-0.5,8617
2023-10-17,17843132,1906762803,107.5,108.0,106.5,106.5,-0.5,8336
2023-10-18,28734757,3035342968,106.0,106.5,105.0,105.5,-1.0,13667
2023-10-19,42470168,4409816317,105.0,105.5,103.0,103.5,-2.0,20878
2023-10-20,33199943,3441469923,103.0,104.5,103.0,103.5,0.0,13143
2023-10-23,84175293,8487114330,102.0,102.0,100.0,100.5,-3.0,52609
2023-10-24,113705847,11205467571,99.8,99.8,97.3,98.3,-2.2,87571
2023-10-25,41361487,4096713022,98.3,99.5,98.3,99.0,0.7,30692
2023-10-26,42562225,4188969892,98.3,98.7,98.0,98.5,-0.5,27214
2023-10-27,33549955,3300859897,98.5,98.9,98.2,98.2,-0.3,21702
2023-10-30,139233228,13257335235,98.3,98.5,94.0,94.5,-3.7,116153
2023-10-31,63987716,6153398199,95.1,96.9,95.1,96.5,2.0,35607
